dates,results,locations,game_nums,opponent,date_diff,rest,opp_date_diff,opp_rest,rest_diff,abbrv
2015-11-07,Loss,Away,6,ATL,1,0,1.0,0.0,0.0,WAS
2015-11-10,Loss,Home,7,OKC,3,2,3.0,2.0,0.0,WAS
2015-11-14,Win,Home,8,ORL,4,3,2.0,1.0,2.0,WAS
2015-11-17,Win,Home,9,MIL,3,2,1.0,0.0,2.0,WAS
2015-11-21,Win,Away,10,DET,4,3,1.0,0.0,3.0,WAS
2015-11-24,Loss,Home,11,IND,3,2,3.0,2.0,0.0,WAS
2015-11-25,Loss,Away,12,CHO,1,0,1.0,0.0,0.0,WAS
2015-11-27,Loss,Away,13,BOS,2,1,2.0,1.0,0.0,WAS
2015-11-28,Loss,Home,14,TOR,1,0,2.0,1.0,-1.0,WAS
2015-12-01,Win,Away,15,CLE,3,2,2.0,1.0,1.0,WAS
2015-12-02,Loss,Home,16,LAL,1,0,1.0,0.0,0.0,WAS
2015-12-04,Win,Home,17,PHO,2,1,2.0,1.0,0.0,WAS
2015-12-06,Loss,Home,18,DAL,2,1,2.0,1.0,0.0,WAS
2015-12-07,Win,Away,19,MIA,1,0,2.0,1.0,-1.0,WAS
2015-12-09,Loss,Home,20,HOU,2,1,2.0,1.0,0.0,WAS
2015-12-11,Loss,Away,21,NOP,2,1,3.0,2.0,-1.0,WAS
2015-12-12,Win,Away,22,DAL,1,0,1.0,0.0,0.0,WAS
2015-12-14,Loss,Away,23,MEM,2,1,1.0,0.0,1.0,WAS
2015-12-16,Loss,Away,24,SAS,2,1,2.0,1.0,0.0,WAS
2015-12-19,Win,Home,25,CHO,3,2,1.0,0.0,2.0,WAS
2015-12-21,Win,Home,26,SAC,2,1,3.0,2.0,-1.0,WAS
2015-12-23,Win,Home,27,MEM,2,1,2.0,1.0,0.0,WAS
2015-12-26,Win,Away,28,BRK,3,2,1.0,0.0,2.0,WAS
2015-12-28,Loss,Home,29,LAC,2,1,2.0,1.0,0.0,WAS
2015-12-30,Loss,Away,30,TOR,2,1,2.0,1.0,0.0,WAS
2016-01-01,Win,Home,31,ORL,2,1,2.0,1.0,0.0,WAS
2016-01-03,Loss,Home,32,MIA,2,1,3.0,2.0,-1.0,WAS
